"icao","airport"
"OMSJ","Sharjah International Airport"
"OMAD","Al Bateen Executive Airport"
"OMFJ","Fujairah International Airport"
"OMBY","Sir Bani Yas Airport"
"OMRK","Ras Al Khaimah International Airport"
"OMDW","Al Maktoum International Airport"
"OMAM","Al Dhafra Air Base"
"OMDL","Dalma Airport"
"","Dubai Creek Seaplane Base"
"","Yas Island Seaplane Base"
"","Jebel Ali Seaplane Base"
"","Al Hamra Seaplane Base"
"OMDB","Dubai International Airport"
"OMAL","Al Ain International Airport"
"OMDM","Al Minhad Air Base"
"OMAA","Abu Dhabi International Airport"
"OAFR","Farah Airport"
"OAMN","Maymana Airport"
"OASL","Forward Operating Base Salerno"
"OAHN","Khwahan Airport"
"OADS","Sardeh Band Airport"
"OAKB","Hamid Karzai International Airport"
"OAQN","Qala i Naw Airport"
"OAFZ","Fayzabad Airport"
"OAKS","Khost Airfield"
"OASN","Sheghnan Airport"
"OAHR","Herat International Airport"
"OAGN","Ghazni Airport"
"OABN","Bamyan Airport"
"OAKN","Kandahar International Airport"
"OADY","Dwyer Airport"
"OAGZ","Gardez Airport"
"OAUZ","Kunduz Airport"
"OABT","Bost Airport"
"OARG","Uruzgan Airport"
"OATN","Tarinkot Airport"
"OAOG","Urgun Airport"
"OAZJ","Zaranj Airport"
"OAZI","Camp Bastion Air Base"
"OAMS","Mazar-e Sharif International Airport"
"OARZ","Razer Airport"
"OATQ","Taloqan Airport"
"OACC","Chaghcharan Airport"
"OADZ","Darwaz Airport"
"OAJL","Jalalabad Airport"
"OASH","Forward Operating Base Shank"
"OASD","Shindand Air Base"
"OAIX","Bagram Airfield"
"OASA","Sharana Airstrip / Forward Operating Base Sharana"
"OAKB","Kabul International Airport"
"TAPH","Barbuda Codrington Airport"
"TAPA","V. C. Bird International Airport"
"TQPF","Clayton J. Lloyd International Airport"
"UDSG","Gyumri Shirak Airport"
"UDYZ","Zvartnots International Airport"
"FNUE","Luena Airport"
"FNGI","Ondjiva Pereira Airport"
"FNUG","Uige Airport"
"FNCP","Kapanda Airport"
"FNKU","Kuito Airport"
"FNZE","N'zeto Airport"
"FNCV","Cuito Cuanavale Airport"
"FNMO","Namibe Airport (Yuri Gagarin Airport)"
"FNSO","Soyo Airport"
"FNUB","Lubango Mukanka Airport"
"FNPA","Porto Amboim Airport"
"FNCZ","Cazombo Airport"
"FNMA","Malanje Airport"
"","Lumbala N'guimbo Airport"
"FNAM","Ambriz Airport"
"FNLZ","Cuango-Luzamba Airport"
"FNSA","Henrique de Carvalho Airport"
"FNCH","Chitato Airport"
"","Dirico Airport"
"","Andulo Airport"
"FNDU","Dundo Airport"
"FNLB","Lobito Airport"
"FNCT","Catumbela Airport"
"FNSU","Sumbe Airport"
"FNWK","Waco Kungo Airport"
"","N'dalatando Airport"
"","Jamba Airport"
"FNHU","Albano Machado Airport"
"FNBG","Benguela Airport (Gen. V. Deslandes Airport)"
"FNLK","Lucapa Airport"
"FNLU","Quatro de Fevereiro Airport"
"FNZG","Nzagi Airport"
"FNXA","Xangongo Airport"
"FNCF","Cafunfo Airport"
"FNCA","Cabinda Airport"
"FNUA","Luau Airport"
"FNME","Menongue Airport"
"FNNG","Negage Airport"
"FNBC","Mbanza Congo Airport"
"","Cangamba Airport"
"SCRM","Teniente R. Marsh Airport"
"SADP","El Palomar Airport"
"SAOS","Valle del Conlara Airport"
"SAAC","Comodoro Pierrestegui Airport"
"SAAR","Rosario - Islas Malvinas International Airport"
"SAWM","Rio Mayo Airport"
"SAZR","Santa Rosa Airport (Argentina)"
"SAWT","Rio Turbio Airport"
"SAWU","Santa Cruz Airport (Argentina)"
"SAZG","General Pico Airport"
"SARC","Doctor Fernando Piragine Niveyro International Airport"
"SATD","Eldorado Airport"
"SANE","Vicecomodoro Angel de la Paz Aragones Airport"
"SAMR","San Rafael Airport (Argentina)"
"SAHC","Chos Malal Airport"
"SAHZ","Zapala Airport"
"SAAV","Sauce Viejo Airport"
"SACO","Ingeniero Aeronautico Ambrosio L.V. Taravella International Airport (Pajas Blancas)"
"SAVS","Sierra Grande Airport"
"SATU","Curuzu Cuatia Airport"
"SASA","Martin Miguel de Guemes International Airport"
"SAVQ","Maquinchao Airport"
"SAVN","Antoine de Saint Exupery Airport"
"SAZY","Aviador Carlos Campos Airport"
"SAST","Tartagal Airport"
"SAZC","Brigadier Hector Eduardo Ruiz Airport"
"SANC","Coronel Felipe Varela International Airport"
"SAVM","Lago Musters Airport"
"","Carmen de Patagones Airport"
"SAZL","Santa Teresita Airport"
"SAZS","San Carlos de Bariloche Airport"
"SASO","Oran Air"
"SANU","Domingo Faustino Sarmiento Airport"
"SAVR","Alto Rio Senguer Airport"
"SAZF","Olavarria Airport"
"SATG","Goya Airport"
"SAZH","Tres Arroyos Airport"
"SAOU","Brigadier Mayor Cesar Raul Ojeda Airport"
"SANT","Teniente General Benjamin Matienzo International Airport"
"SATC","Clorinda Airport"
"SAVD","El Maiten Airport"
"SAZP","Comodoro Pedro Zanni Airport"
"SAWP","Perito Moreno Airport"
"SAVY","El Tehuelche Airport"
"SAWJ","Capitan Jose Daniel Vazquez Airport"
"SASJ","Gobernador Horacio Guzman International Airport"
"SAHR","Dr. Arturo Umberto Illia Airport"
